"","journal"
"256","plant physiology and biochemistry"
"257","plant science"
"258","plos computational biology"
"259","plos neglected tropical diseases"
"260","plos one"
"261","proceedings of the international conference on port and ocean engineering under arctic conditions, poac"
"262","proceedings of the national academy of sciences of the united states of america"
"263","progress in biophysics and molecular biology"
"264","prostaglandins and other lipid mediators"
"265","prostaglandins leukotrienes and essential fatty acids"
"266","protein and peptide letters"
"267","protein expression and purification"
"268","protoplasma"
"269","quimica nova"
"270","renewable and sustainable energy reviews"
"271","research policy: x"
"272","resources"
"273","resources, conservation and recycling"
"274","respiratory medicine: x"
"275","results in physics"
"276","revista colombiana de quimica"
"277","rsc advances"
"278","science of the total environment"
"279","scientific reports"
"280","seminars in cancer biology"
"281","siam journal on imaging sciences"
"282","sleep medicine: x"
"283","south african journal of botany"
"284","sustainability (switzerland)"
"285","thermal science and engineering progress"
"286","toxicon: x"
"287","toxics"
"288","toxins"
"289","traffic"
"290","trends in biochemical sciences"
"291","trends in cell biology"
"292","tropical medicine and infectious disease"
"293","vaccine"
"294","vaccine: x"
"295","veterinary parasitology: x"
"296","water (switzerland)"
"297","water environment research"
"298","water research"
"299","water research x"
"300","water resources research"
"301","water, air, and soil pollution"
"302","world neurosurgery"
"303","world neurosurgery: x"
